id,attacker_id,flag_id,attacker_delta,victim_delta,timestamp
25715,2,9197,6.218076248,-6.218076248,2022-06-16 11:49:14.561765+00
38052,2,11120,1.680744899,0,2022-06-16 12:49:04.578422+00
43522,2,12014,4.135824873,-4.135824873,2022-06-16 13:15:05.169139+00
49458,1,13077,11.49252955,-11.49252955,2022-06-16 13:49:08.749496+00
23818,1,8939,4.632359014,-4.632359014,2022-06-16 11:40:17.100412+00
23819,1,8955,4.519059649,-4.519059649,2022-06-16 11:40:17.103927+00
52805,1,13654,13.23273457,-13.23273457,2022-06-16 14:06:50.838926+00
23831,1,8991,7.77381969,-7.77381969,2022-06-16 11:40:23.09969+00
23832,1,9006,7.478510535,-7.478510535,2022-06-16 11:40:23.102935+00
23833,1,8990,7.8199032,-7.8199032,2022-06-16 11:40:23.103766+00
23834,1,9007,7.437043888,-7.437043888,2022-06-16 11:40:23.104535+00
38175,4,10976,6.083649002,-6.083649002,2022-06-16 12:49:32.034505+00
52806,1,13600,4.380816503,-4.380816503,2022-06-16 14:06:50.842252+00
33519,3,10414,13.57423496,-13.57423496,2022-06-16 12:24:05.670591+00
38209,3,11115,9.247176499,-9.247176499,2022-06-16 12:49:41.465288+00
23845,4,8915,9.28258087,-9.28258087,2022-06-16 11:40:27.128441+00
25792,6,9263,11.18839368,-11.18839368,2022-06-16 11:49:39.090727+00
33560,4,10355,9.979307149,-9.979307149,2022-06-16 12:24:20.304302+00
33561,4,10315,11.77759241,-11.77759241,2022-06-16 12:24:20.307689+00
33562,4,10331,4.419180242,-4.419180242,2022-06-16 12:24:20.308563+00
33600,6,10352,1.844165017,0,2022-06-16 12:24:27.379084+00
33613,3,10093,7.516400816,-7.516400816,2022-06-16 12:24:32.657248+00
20864,3,8493,10.28287755,-10.28287755,2022-06-16 11:26:09.960957+00
21011,6,8525,14.84907909,-14.84907909,2022-06-16 11:27:01.738532+00
22585,2,8768,5.42011222,-5.42011222,2022-06-16 11:35:04.570978+00
20885,1,8512,3.177682828,-3.177682828,2022-06-16 11:26:11.021401+00
20886,1,8496,0.803225024,0,2022-06-16 11:26:11.024648+00
21121,1,8480,7.516976461,-7.516976461,2022-06-16 11:27:47.005609+00
26359,6,9259,5.916037919,-5.916037919,2022-06-16 11:51:01.686989+00
21199,7,8490,12.23015579,-12.23015579,2022-06-16 11:28:06.567905+00
26415,2,9342,5.784764298,-5.784764298,2022-06-16 11:51:05.325091+00
45632,1,12322,12.0320071,-12.0320071,2022-06-16 13:27:11.662032+00
21282,7,8426,12.11618071,-12.11618071,2022-06-16 11:28:23.606039+00
22700,4,8736,6.359800574,-6.359800574,2022-06-16 11:35:37.196712+00
21371,2,8576,5.534189849,-5.534189849,2022-06-16 11:29:04.481385+00
30137,4,9838,6.225136555,-6.225136555,2022-06-16 12:06:16.688712+00
30138,4,9839,6.102599626,-6.102599626,2022-06-16 12:06:16.692538+00
20898,3,8509,10.45058766,-10.45058766,2022-06-16 11:26:13.062614+00
30139,4,9823,7.5183882,-7.5183882,2022-06-16 12:06:16.693494+00
28231,1,9501,10.34729263,-10.34729263,2022-06-16 11:57:05.16255+00
24648,2,9069,6.390294831,-6.390294831,2022-06-16 11:44:19.42697+00
32240,6,10090,9.693522641,-9.693522641,2022-06-16 12:17:17.730967+00
22937,2,8813,6.704236165,-6.704236165,2022-06-16 11:36:24.442812+00
45726,4,12312,8.351080682,-8.351080682,2022-06-16 13:27:56.436533+00
20905,1,8416,7.554780306,-7.554780306,2022-06-16 11:26:14.023762+00
22967,7,8810,11.51107952,-11.51107952,2022-06-16 11:36:40.247579+00
24732,6,9118,12.95727444,-12.95727444,2022-06-16 11:44:47.590537+00
21727,2,8637,7.178095412,-7.178095412,2022-06-16 11:30:24.520672+00
21756,2,8624,1.526294515,0,2022-06-16 11:31:04.469562+00
37301,2,11050,5.50958387,-5.50958387,2022-06-16 12:44:31.196922+00
39912,4,11451,1.446748621,-1.446748621,2022-06-16 12:58:21.137369+00
39913,4,11443,9.569058938,-9.569058938,2022-06-16 12:58:21.140857+00
34898,2,10283,6.446018899,-6.446018899,2022-06-16 12:31:14.325613+00
28595,2,9520,1.577304983,0,2022-06-16 11:59:04.452798+00
30553,1,9851,3.748927164,-3.748927164,2022-06-16 12:08:44.186453+00
30576,1,9886,7.34324507,-7.34324507,2022-06-16 12:08:50.187199+00
30577,1,9903,5.893633693,-5.893633693,2022-06-16 12:08:50.188443+00
25038,4,9135,7.724677008,-7.724677008,2022-06-16 11:46:09.839137+00
25039,4,9199,7.69712845,-7.69712845,2022-06-16 11:46:09.843338+00
27014,6,9299,14.71622717,-14.71622717,2022-06-16 11:52:25.507736+00
20923,2,8554,9.481402805,-9.481402805,2022-06-16 11:26:18.821078+00
30578,1,9918,4.583463013,-4.583463013,2022-06-16 12:08:50.189254+00
30579,1,9887,7.292333802,-7.292333802,2022-06-16 12:08:50.190054+00
20926,4,8467,9.70276267,-9.70276267,2022-06-16 11:26:19.377942+00
30580,1,9902,5.87984155,-5.87984155,2022-06-16 12:08:50.190894+00
25181,4,9016,8.763853611,-8.763853611,2022-06-16 11:46:57.192235+00
20929,4,8499,11.12280525,-11.12280525,2022-06-16 11:26:20.8079+00
20930,4,8475,5.010714098,-5.010714098,2022-06-16 11:26:22.195875+00
20931,4,8491,3.557988016,-3.557988016,2022-06-16 11:26:22.199284+00
20932,4,8459,13.91393425,-13.91393425,2022-06-16 11:26:22.200246+00
20933,1,8424,18.40611381,-18.40611381,2022-06-16 11:26:23.033356+00
20934,4,8507,3.463853904,-3.463853904,2022-06-16 11:26:24.147293+00
22063,4,8568,9.02588183,-9.02588183,2022-06-16 11:32:34.479761+00
30581,1,9919,4.508701389,-4.508701389,2022-06-16 12:08:50.191755+00
34899,2,10347,6.417671986,-6.417671986,2022-06-16 12:31:14.328913+00
32730,3,10303,11.56558206,-11.56558206,2022-06-16 12:20:05.167598+00
20939,2,8493,7.150826094,-7.150826094,2022-06-16 11:26:24.448953+00
20940,1,8440,10.4800482,-10.4800482,2022-06-16 11:26:29.013642+00
23471,1,8880,0.763479869,0,2022-06-16 11:39:02.100444+00
22154,6,8749,4.40740121,-4.40740121,2022-06-16 11:33:10.245704+00
23472,1,8896,2.7942454,-2.7942454,2022-06-16 11:39:02.103795+00
34900,2,10411,6.389500398,-6.389500398,2022-06-16 12:31:14.329717+00
20945,2,8509,7.321400517,-7.321400517,2022-06-16 11:26:29.481708+00
20946,1,8491,4.812570571,-4.812570571,2022-06-16 11:26:32.025512+00
20947,1,8542,8.170381488,-8.170381488,2022-06-16 11:26:38.029+00
20948,1,8507,4.700611047,-4.700611047,2022-06-16 11:26:38.032392+00
20949,1,8575,6.390267739,-6.390267739,2022-06-16 11:26:38.033279+00
20950,1,8543,8.089569306,-8.089569306,2022-06-16 11:26:38.034147+00
20951,1,8559,8.426941781,-8.426941781,2022-06-16 11:26:38.035026+00
20952,1,8558,8.484592668,-8.484592668,2022-06-16 11:26:38.035872+00
20953,1,8574,6.615655801,-6.615655801,2022-06-16 11:26:38.036781+00
20954,1,8557,5.81789426,-5.81789426,2022-06-16 11:26:50.019701+00
20955,1,8573,5.966061382,-5.966061382,2022-06-16 11:26:50.023014+00
